商品名称,商品毛重.kg.,奶源产地,国产或进口,适用年龄.岁.,包装单位,配方,分类,段位,团购价.元.,评价量
惠氏,1.2,其它　,国产,3-6岁,盒装,常规配方奶粉,牛奶粉,4段,144,1454
雀巢,0.4,其它　,进口,0-0.5岁,桶装,常规配方奶粉,牛奶粉,2段,145,1444
澳优,0.4,中国大陆,国产,1-3岁,盒装,常规配方奶粉,牛奶粉,3段,145,1444
飞鹤,0.9,中国大陆,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,144,1444
圣元,0.5,法国,国产,0-0.5岁,盒装,常规配方奶粉,牛奶粉,1段,145,1440
贝因美,1,中国大陆,国产,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,145,1438
佳贝艾特,0.4,荷兰,进口,0-0.5岁,桶装,常规配方奶粉,羊奶粉,1段,146,1429
美赞臣,1.37,其它　,国产,1-3岁,盒装,常规配方奶粉,牛奶粉,3段,146,1421
完达山,1.13,中国大陆,国产,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,146,1421
惠氏,0.9,其它　,进口,0-0.5岁,桶装,常规配方奶粉,牛奶粉,1段,146,1407
合生元,0.9,法国,进口,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,148,1375
英氏,0.9,其它　,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,147,1375
圣元,1.1,澳洲/新西兰,国产,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,148,1364
美素,0.9,其它　,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,148,1361
贝因美,1.1,其它　,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,148,1361
惠氏,1.2,其它　,进口,1-3岁,盒装,常规配方奶粉,牛奶粉,3段,149,1324
完达山,1.1,中国大陆,国产,0-0.5岁,桶装,常规配方奶粉,牛奶粉,1段,148,1324
雅士利,0.7,其它　,国产,1-3岁,袋装,常规配方奶粉,牛奶粉,3段,148,1324
雀巢,0.9,其它　,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,148,1324
迈高,0.8,澳洲/新西兰,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,149,1296
贝因美,0.5,爱尔兰,国产,0.5-1岁,盒装,常规配方奶粉,牛奶粉,2段,149,1286
雅士利,0.7,其它　,国产,1-3岁,袋装,常规配方奶粉,牛奶粉,3段,149,1286
多美滋,0.9,其它　,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,149,1280
雀巢,1.2,其它　,国产,1-3岁,盒装,常规配方奶粉,牛奶粉,3段,149,1266
雅士利,0.9,其它　,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,149,1257
贝因美,1,中国大陆,国产,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,149,1231
合生元,0.9,法国,进口,3-6岁,桶装,常规配方奶粉,牛奶粉,4段,149,1217
雅士利,1.12,澳洲/新西兰,国产,0-0.5岁,桶装,常规配方奶粉,牛奶粉,1段,149,1214
雅士利,1.2,其它　,国产,1-3岁,盒装,常规配方奶粉,牛奶粉,3段,150,1210
澳优,0.8,中国大陆,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,149,1210
惠氏,1.4,荷兰,进口,0.5-1岁,桶装,常规配方奶粉,牛奶粉,3段,150,1201
佳贝艾特,0.97,荷兰,进口,0-0.5岁,桶装,常规配方奶粉,羊奶粉,1段,150,1199
惠氏,1.2,其它　,国产,1-3岁,盒装,常规配方奶粉,牛奶粉,3段,150,1199
君乐宝,0.8,中国大陆,国产,3-6岁,桶装,常规配方奶粉,牛奶粉,4段,151,1190
美赞臣,1.5,荷兰,国产,1-3岁,盒装,常规配方奶粉,牛奶粉,3段,151.5,1187
雅士利,1.5,中国大陆,国产,1-3岁,盒装,常规配方奶粉,牛奶粉,3段,152,1174
诺优能,2.4,荷兰,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,152,1159
澳优,0.8,荷兰,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,153,1129
惠氏,0.9,其它　,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,153,1127
合生元,2,法国,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,153,1126
惠氏,1,其它　,进口,0-0.5岁,桶装,常规配方奶粉,牛奶粉,1段,153,1126
雀巢,1,其它　,国产,3-6岁,桶装,常规配方奶粉,牛奶粉,4段,153.75,1121
伊利,1,其它　,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,154,1120
特福芬,1.8,德国,进口,0-0.5岁,盒装,有机奶粉,牛奶粉,1段,154,1109
伊利,0.4,澳洲/新西兰,国产,3-6岁,盒装,常规配方奶粉,牛奶粉,4段,154.5,1091
伊利,4.8,澳洲/新西兰,国产,1-3岁,箱装,常规配方奶粉,牛奶粉,3段,155,1075
