商品名称,商品毛重.kg.,奶源产地,国产或进口,适用年龄.岁.,包装单位,配方,分类,段位,团购价.元.,评价量
雅培,1.1,其它　,国产,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,1229,15
Arla奶粉,0.8,其它　,进口,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,1212,15
完达山,0.9,其它　,国产,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,1368,14
美素,0.9,荷兰,进口,3-6岁,桶装,常规配方奶粉,牛奶粉,4段,1367,14
美赞臣,1.5,其它　,国产,1-3岁,盒装,常规配方奶粉,牛奶粉,3段,1309,14
合生元,1,其它　,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,1308,14
美素,0.9,荷兰,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,1288,14
味全,5.4,荷兰,国产,0.5-1岁,箱装,常规配方奶粉,牛奶粉,2段,1434,13
雀巢,1,中国大陆,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,1428,13
明一,1.2,中国大陆,国产,1-3岁,桶装,常规配方奶粉,羊奶粉,3段,1500,12
完达山,1.05,澳洲/新西兰,国产,0.5-1岁,桶装,常规配方奶粉,羊奶粉,2段,1488,12
花园 黄金牧场,0.4,中国大陆,国产,1-3岁,盒装,常规配方奶粉,牛奶粉,3段,1458,12
雀巢,0.9,其它　,国产,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,1582,11
雅培,1.09,中国大陆,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,1501,11
雅培,0.9,其它　,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,1500,11
味全,0.9,荷兰,国产,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,1662,10
纽贝滋,0.4,中国大陆,国产,1-3岁,袋装,常规配方奶粉,牛奶粉,3段,1660,10
羊羊,0.57,中国大陆,国产,1-3岁,盒装,常规配方奶粉,羊奶粉,3段,1590,10
伴宝乐,0.9,法国,进口,1-3岁,桶装,有机奶粉,牛奶粉,3段,1776,9
惠氏,1.1,其它　,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,1770,9
圣元,1.1,澳洲/新西兰,国产,3-6岁,桶装,常规配方奶粉,牛奶粉,4段,1770,9
贝因美,0.9,其它　,国产,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,1710,9
伊利,0.4,其它　,国产,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,1710,9
伊利,0.98,其它　,国产,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,1701,9
雀巢,0.4,德国,进口,0-0.5岁,桶装,特殊配方奶粉,牛奶粉,2段,1668,9
辉山,1,中国大陆,国产,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,1968,8
伊利,0.45,其它　,国产,0-0.5岁,盒装,常规配方奶粉,牛奶粉,1段,1854,8
御宝,1,其它　,国产,0-0.5岁,桶装,常规配方奶粉,羊奶粉,1段,1848,8
诺优能,0.8,荷兰,进口,3-6岁,桶装,常规配方奶粉,牛奶粉,4段,1788,8
明一,1.2,中国大陆,国产,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,1776,8
伊利,0.9,其它　,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,2034,6
飞鹤,0.5,其它　,国产,3-6岁,盒装,常规配方奶粉,牛奶粉,4段,2034,6
明一,1.2,中国大陆,国产,0-0.5岁,桶装,常规配方奶粉,牛奶粉,1段,2208,5
美可高特,5.2,中国大陆,国产,3-6岁,箱装,常规配方奶粉,羊奶粉,4段,2034,5
纽贝兰朵,1,中国大陆,国产,0.5-1岁,桶装,常规配方奶粉,羊奶粉,2段,2469,4
美羚,1.1,中国大陆,国产,3-6岁,桶装,常规配方奶粉,羊奶粉,3段,2208,4
完达山,0.4,中国大陆,国产,1-3岁,袋装,常规配方奶粉,牛奶粉,3段,2544,2
君乐宝,0.8,中国大陆,国产,0-0.5岁,桶装,常规配方奶粉,牛奶粉,1段,2598,1
